abash			당혹스럽게 하다, 얼떨떨하게 하다
abate			감소시키다, 무효로 하다, 약화시키다, debilitate, reduce
abdicate		포기하다, 퇴위하다, 사퇴하다
aberration		탈선, 정신이상, deviation
abhor			몹시 싫어하다, 혐오하다
abject			비천한, 비열한, 비굴한(사람)
abnegate		포기하다, 버리다, 자제하다, abandon, renounce
abortive		실패한; 유산의, 발육부진의, unsuccessful
abridge			요약하다; 축소하다, 단축하다; 제거하다
absolute		절대의, 무조건의, 전체적
absolve			용서하다, 사면하다, 방면하다, free from blame
abstinent		절제하는, 금욕적인
abstract		추상적인, 이상적인, 난해한
abstruse		난해한, 심오한, hard to understand
abysmal			심연의, 끝없이 깊은, hopeless
accolade		나이트작 수여식; 명예, 표창
accost			다가가서 말을 걸다
acerbic			[맛이] 신, 신랄한
acquiesce		묵인하다; 묵묵히 따르다, comply passively: aquaint-~을 아는, aquire-얻다
acrid			매운, 신랄한, 가혹한
acrimonious		신랄한, 엄한, 호된
acumen			예민, 날카로운 통찰력
acute			날카로운, 민감한
adage			격언, 속담
adamant			단단한, 견고한, 굳센, stubborn
address			[...에게] 말을 걸다, 연설하다‘ [항의 등을]제기/제출하다
adherent		지지자, 당원, 신자; 부착력 있는, 들러붙는, coherent, 응집한, 밀착한
admonish		훈계하다, 충고하다; 경고하다, scold gently
adroit			교묘한, 솜씨있는; 기민한, 영리한, dexterous, +sinister, gauche
adulation		아첨, 추종
adulterate		오염시키다, 더럽히다
adverse			반대의, 거스르는, 어긋나는, 불리한, antagonistic
aesthetic		미의, 심미적인
affable			상냥한, 사근사근한, 붙임성 있는
affectation		pompose, artificial behavior intended to impress
affinity		유사, 친화력, 좋아함
affluent		풍부한, 부유한
agenda			안건, 의사일정
agrarian		토지의, 경작지의, 농업의
aggregate		모으다, 집합하다, 총계가 ...이 되다, congregate, segregate, integrate
agnostic		불가지론자, one who behave that the existence of a god can be neither proven nor disproven
alacrity		민첩, 기민, 경쾌, 소탈함
allege			단언하다; 변명하다, 우겨대다; 진술하다, asset without proof
alleviate		완화하다, 경감하다, relieve
allocate		할당하다, 배분하다, distribute
alloy			합금, 혼합물
allusion		암시, 빗댐, 언급(hint), indirect reference
aloof			멀리 떨어져서, 초연히; 무관심한, 쌀쌀한, 냉담함
altruism		애타주의 이타주의(타인에게 헌신적인)
ambience		환경, 분위기(mood), atmosphere
ambiguous		중의적인, 두 가지 뜻으로 풀이되는; 분명하지 않은, unclear in meaning
ambivalent		아직 결정되지 않은; 중성의, 중립의; 묽은, 시시한, 양면가치의, undecided
ameliorate		개선하다, 개량하다; 좋아지다
amenable		순종하는, 기꺼이 따르는; 쉽게 좌우되는
amenity			쾌적함, 즐거움, 쾌락; 부드러움, 상냥함
amiable			호감을 주는, 상냥한, 애교 있는
amnesty			사면, 대사, 특사; 사면하다
amoral			초도덕의, 도덕과 관계없는
amorous			호색의, 요염한; 반해 있는
amorphous		무정형의, 일정한 형태가 없는, shapeless
anachronism		시대착오, 시대에 뒤떨어진 사람
analogy			유사, similarity
anarchy			무정부, 무질서
anecdote		일화, 기담; 비화
anguish			고통, 번민, 고뇌; 괴로워하다
animosity		적의, 원한, 악의, resentment, hostility
anomaly			변칙, 이상; 예외, 이례
antecedent		선행자, 선례; 조상; 앞서는, 전제의
antipathy		(↔sympathy)반감, 혐오, 불일치; 싫어하는 사람이나 물건
antithesis		정반대
apartheid		인종차별
apathy			냉담, 무관심, lact of interest
aphorism		격언
apocalypse		묵시, 요한계시록, prophetic revelation
apocryphal		[저자, 작품 등의]작자나 전거가 의심스러운; [일반적으로] 가짜의, dubious authenticity
apotheosis		신격화
appease			진정시키다, 달래다, 유화하다; 갈등을 풀다, 양보하다, soothe
appreciate		가격이 오르다, 시세가 오르다; 감사(평가)하다, +depreciate
apprehensive		염려하는, 걱정하는, 이해; comprehension-이해, 내포
approbation		허가, 인가, 면허, approval; aggravate-악화시키다.
appropriate		적당한, 어울리는, 특정한; 전유하다, 충당하다, take without permission
aptitude		적성, 소질, 재능; 적절함, capacity for learning natural ability
arbiter			중재인, 조정자; 결정적 요소
arbitrary		임의의, 독단적인(random), capricious
arcane			비밀의, 불가사이의(mysterious)
archaic			고풍의
archetype		원형(original model)
ardent			열렬한, 열심인, 타는 듯한(↔half-hearted), passionate
arduous			힘드는, 고난의; 끈기 있는, 노력하는, difficult
aristocratic		귀족의
artful			교묘한, 능수 능란한; 인위적인(=crafty, wily, sly)
artifice		고안, 기술, 궁리; 대책, 술책; sacrifice-제물, 희생
ascendancy		우월, 지배권, 주도권; ascend-올라가다, 오르다
ascetic			금욕주의자, 금욕주의의, abstinent
assiduous		근면한, 꾸준히 힘쓰는, 부지런한
assimilate		동화하는, 동질화하다, 소화하다, 이해하다; 흡수하다
assuage			진정시키다, 누그러뜨리다, sooth
astute			기민한, 빈틈없는; 교활한
attrition		마멸, 마찰, 마손, 감소, 축소
audacity		대담; 대담한 행위(= boldness, impertinence)
augment			증가시키다, 늘리다; 늘다, 증대, burgeon, increase, to make bigger
auspicious		길조의, 경사스런, auspices, favorable, pointing a good result
austere			꾸밈이 없는, 간소한, 엄한, 준엄한, 엄격한, stern
autocratic		독재적인
autonomous		자율의, 자치의, 자주적인
avarice			탐욕, 허욕(=greed)
avow			공언하다, 솔직히 인정하다, claim, admit
avuncular		백부(숙부)의; 삼촌, like an uncle
awry			굽어서; 잘못되어; 휘어서; 틀려서, wry
axiom			원리, 이치, 공리, 격언
banal			평범한, 진부한, ordinary
bane			독, 해악, 파멸의, 원인
bastion			요새(본거지), 능보
beget			아이를 낳다, 생기게 하다, get birth to, create, cause
belabor			세게 때리다, 공격하다, 호되게 꾸짖다, 욕하다, 조롱하다
beleaguer		에워싸다, 포위하다, 괴롭히다, beset
belie			거짓 전하다, 속이다, 숨기다; betray-속이다, 무심코 드러내다
belittle		작게 하다, 경시하다, 과소평가하다
belligerent		교전중인, 호전적인, 싸우기 좋아하는; 교전국, 싸움 상대, 적
bemused			멍하게 하다, ...의 마음을 사로잡다, confused
benefactor		은인, 후원자, 기부하는 사람, +malefactor
benevolent		인정이 많은, 자비로운, 선의의, 호전적인, malevolent
benign			온화한, 친절한, 자비로운, 자상한, malign
bequest			유산, 유물
bereft			[죽음을 통하여 생명, 희망 등을]빼앗기다, 황량해지다; beleave-앗아가다, 잃게하다
beset			에워싸다, 포위하다; 괴롭히다, beleaguer
blasphemy		신성모독, 불경
blatant			소란스러운, 몹시 떠들썩한, 뻔뻔스러운, unpleasantly or offensively noisy
blight			식물의 고조병, 충해; 악화, 황폐
blithe			즐거운, 명랑한, 경솔한
bourgeois		중산계급, 자본가, 부르조아; 고상하지 못한, 속물적인
bovine			소의, 소 같은; 둔한, 둔감한
brevity			간결, 간략, 짧음
broach			끄집어내다, 화제 등을 입밖에 내다, open up a subject for discussion
bucolic			목가적인, 양치기의, 소박한; 목가, 전원시
bureaucracy		관료정치(제도, 주의)
burgeon			성장하다, 갑자기 커지다, augment, expand, flourish
burlesque		광시, 해학극, 익살극, 풍자문, 풍자시
cacophony		불협화음, 불쾌한 음조, 소음
cadence			운율, 억양, 가락
cajole			부추기다; 감언이설로 속이다, 꾀다
callow			아직 깃털이 나지 않은, 풋내기의
candor			정직, 공평무사
capitalism		자본주의
capitulate		항복하다, 성을 내어 주다; recapitulate-summerize
capricious		변덕스런, 마음이 변하기 쉬운, 불규칙한
caricature		만화, 풍자만화, 풍자한 글
castigate		가책하다, 혹평하다; 징계하다; 고치다, 첨삭하다, criticize
catalyst		촉매, 촉진제
categorical		절대적인, 무조건의 단언적인; 범주에 속하는, 분류의
catharsis		정화, 카타르시스
catholic		[관심, 흥미, 취미가] 광범위한, 보편적인; 관대한, 마음이 넓은
caustic			부식성의, 신랄한, 통렬한
celibacy		독신, 독신생활, 금욕
censure			비난하다, 나무라다, 혹평하다, 견책하다
cerebral		대뇌의, 뇌리; 지적인, 지성에 호소하는
chagrin			유감, 원통함, 분함
charisma		재능, 권능; 권위, 비상한 매력
charlatan		지독한 허풍선이, 엉터리의; 돌팔이 의사
chasm			깊게 갈라진 틈, 금, 균열; 단절, 결합; 차이, 불화
chastise		응징하다, 징벌하다; 몹시 비난하다
chicanery		꾸며댐, 발뺌, 속임수
chimera			망상, 괴물
choleric		성마른, 화 잘 내는, bilious, irasible, hot-tempered
chronic			만성의 고질적인, 오래 끄는
chronicle		연대, 편년사, 기록
circuitous		우회의, 에두르는, 완곡한(roundabout)
circumlocution		완곡한 표현, 넌지시 하는 말, 핑계
circumscribe		...의 둘레에 선을 긋다, 경계선을 긋다; 제한하다, 한계를 정하다; 외접하다
circumspect		신중한, 용의주도한, 주의 깊은
circumvent		우회하다, 교묘하게 회피하다; 앞지르다, 선수치다; 포위하다, frustrate as though by surrounding
civil			시민의, 민간의
clandestine		비밀의, 은밀한
clemency		(기후의) 온화; 관대, 인정많은
cliche			진부한 표현, 상투적인 문구
clique			도당, 파벌
coalesce		연합하다, 유착하다; 연합시키다
coerce			지배하다, 강제하다, 강요하다, compelling; coarce-조잡한, 거친
cogent			유력한, 사람을 수긍시키는
cognitive		인식의, 인식력이 있는
cognizant		인식하고 있는, 알고 있는
coherent		일관된, 조리가 서는; 응집성의, 밀착한
colloquial		구어체, conversational
collusion		공모, 결탁, conspiracy
commensurate		같은 양의, 같은 시간의; 균형 잡힌, equal, proportionate
compelling		...하지 않을 수 없는, 강제적인, coerce
compendium		개략, 요약, 일람표
complacent		자기 만족의, 은근한, 마음에 흡족한
complement		보충하여 완전케하다, 보완하다, 보충하다, complete; compliment-경의,아첨
complicity		공모, 연루, 공범
comprehensive		포괄적인; 이해력이 있는, 이해가 빠른; apprehensive-이해하는,우려하는
comprise		포함하다, 품다, 의미하다; 구성되다, 성립되다; apprise-알리다
conciliatory		타협적인, 융화적인, 회유적인
concise			간결한, 간명한
concord			의견의 일치, 화합, 협조; 협정(harmony, agreement)
concurrent		동시에 일어나는, 협동의
condescend		겸손하게 굴다, 자신을 낮추다
condone			용서하다, 묵과하다
conducive		도움이 되는, 이바지하는
confluence		합류, (사람 등의) 집합, 군중, flow together
congenial		같은 성질의, 마음에 맞는, 적합한, 붙임성 있는
congenital		선천적인, 타고난
conjecture		추측하다, 짐작으로 말하다; 억측/판독하다
conjure			마술로 ..하다, 마음속에 그려내다, (영혼을)불러내다; abjure-맹세코 버리다
connoisseur		(미술품 등의) 감정가, 감식가
consecrate		신성하게 하다, 정화하다, 전념하다, 봉헌하다
consensus		일치, 여론, 교감
consonant		조화하는, 일치하는; 협화음의
construe		해석하다, 추론하다, interprct
consummate		완성한, 완성된, 순전한; 터무니없는, 엄청난; 완성하다, 성취하다, perfect
contentious		다투기 좋아하는, 논쟁을 불러일으키는; 소송의
contiguous		접촉하는, 인접하는, 근접한
contingent		불시의, 우연의; ...조건으로 하는, 불확실한, 있을 수 있는; stringent-엄중한,절박한, astringent
contrite		회개한, 회한의, 죄를 뉘우치는
